Mach,Alpha,CD,CD Power-Off,CD Power-On,CL,CP,CP (0 to 4 deg),Reynolds Number
0.77,0,0.4022443663625344181028620603,0.402244366,0.378201305,0,141.84902162243804688858781604,141.84902162243804688858781604,91909560
0.78,0,0.4021707508193902709634952142,0.402170751,0.377774865,0,141.84902162243804688858781604,141.84902162243804688858781604,93103190
0.79,0,0.4021025798537324720521692241,0.40210258,0.377353869,0,141.84902162243804688858781604,141.84902162243804688858781604,94296830
0.8,0,0.4020396515392843656586530212,0.402039652,0.376938116,0,141.84902162243804688858781604,141.84902162243804688858781604,95490460
0.81,0,0.4019818527149455688049080694,0.401981853,0.376527493,0,141.84902162243804688858781604,141.84902162243804688858781604,96684090
0.82,0,0.4019290795476143337112618450,0.40192908,0.376121895,0,141.84902162243804688858781604,141.84902162243804688858781604,97877720
0.83,0,0.4018812106967492742448822236,0.401881211,0.375721202,0,141.84902162243804688858781604,141.84902162243804688858781604,99071350
0.84,0,0.4018380776715696857364816491,0.401838078,0.375325244,0,141.84902162243804688858781604,141.84902162243804688858781604,100265000
0.85,0,0.4017996144722570066086667678,0.401799614,0.374933957,0,141.84902162243804688858781604,141.84902162243804688858781604,101458600
0.86,0,0.4017656993747947150215245814,0.401765699,0.374547217,0,141.84902162243804688858781604,141.84902162243804688858781604,102652200
0.87,0,0.4017361549232279035925141930,0.401736155,0.374164848,0,141.84902162243804688858781604,141.84902162243804688858781604,103845900
0.88,0,0.4017109905334310572040528330,0.401710991,0.373786859,0,141.84902162243804688858781604,141.84902162243804688858781604,105039500
0.89,0,0.4016900601421985780578617874,0.40169006,0.373413104,0,141.84902162243804688858781604,141.84902162243804688858781604,106233100
0.9,0,0.4016732001253759433731581744,0.4016732,0.37304342,0,141.84902162243804688858781604,141.84902162243804688858781604,107426800
0.91,0,0.404404578,0.404404578,0.375580115,0,142.3045705,141.7038846,108620400
0.92,0,0.412598711,0.412598711,0.383190201,0,142.7601193,141.5587475,109814000
0.93,0,0.424899928,0.424899928,0.394251892,0,143.2156681,141.4136105,111007700
0.94,0,0.437211161,0.437211161,0.404960146,0,143.671217,141.2684735,112201300
0.95,0,0.449522394,0.449522394,0.415668401,0,144.1267658,141.1233364,113394900
0.96,0,0.461833627,0.461833627,0.426376655,0,144.5823146,140.9781994,114588500
0.97,0,0.47414486,0.47414486,0.437084909,0,145.0378635,140.8330623,115782200
0.98,0,0.486456094,0.486456094,0.447793163,0,145.4934123,140.6879253,116975800
0.99,0,0.498767327,0.498767327,0.458501418,0,145.9489611,140.5427883,118169400
1,0,0.51107856,0.51107856,0.469209672,0,146.40451,140.3976512,119363100
1.01,0,0.523389793,0.523389793,0.479917926,0,146.8600588,140.2525142,120556700
1.02,0,0.535701026,0.535701026,0.49062618,0,147.3156076,140.1073771,121750300
1.03,0,0.548012259,0.548012259,0.501334435,0,147.7711565,139.9622401,122944000
1.04,0,0.560323493,0.560323493,0.512042689,0,148.2267053,139.8171031,124137600
1.05,0,0.5726347257221224942654201054,0.572634726,0.522750943,0,148.68225415406749159234283196,139.67196601120414989127122295,125331200
1.06,0,0.5710987743267851027741963978,0.571098774,0.521426319,0,148.73936380051262344315429316,139.75324152900525269559033961,126524800
1.07,0,0.5695783927585756531975944915,0.569578393,0.520117265,0,148.79286460939297101056187484,139.82876450562997695390395795,127718500
1.08,0,0.5680732005405632373021488205,0.568073201,0.5188234,0,148.84373202406698123983606833,139.89992513908559020589088036,128912100
1.09,0,0.5665827011910197800414110538,0.566582701,0.517544227,0,148.89226752577039301202717046,139.96739086708819171317183902,130105800
1.1,0,0.5651065171920998914502596044,0.565106517,0.516279371,0,148.939074452391624295942493,140.03194977148766929219981185,131299400
1.11,0,0.5636442159013346804694638131,0.563644216,0.515028396,0,148.98424084847756985232348444,140.09390528795094373230008528,132493000
1.12,0,0.5621954159037033517922246072,0.562195416,0.513790924,0,149.028120330386976126404619,140.15371794295663664894130846,133686600
1.13,0,0.5607597102756814840364512036,0.56075971,0.512566545,0,149.07082080694850323662834874,140.21161789508095302106664255,134880300
1.14,0,0.5593367867538106830169682828,0.559336787,0.511354949,0,149.11249996632518223929933871,140.26784509909077854673157639,136073900
1.15,0,0.5579262818347433478215094398,0.557926282,0.510155771,0,149.15330355530523879254317987,140.32261061409195306545723212,137267500
1.16,0,0.5556362343441690833918024305,0.555636234,0.508077051,0,149.19328350003203915086515207,140.37603478687217209084276475,138461200
1.17,0,0.5533290761767513690594058144,0.553329076,0.50598122,0,149.23256607209917252722500539,140.42828463219624598448615587,139654800
1.18,0,0.5510371700383942574490093184,0.55103717,0.503900641,0,149.27127097026610328021069064,140.4795123881797184734013415,140848400
1.19,0,0.5487602914655037039274178172,0.548760291,0.50183509,0,149.30927673005871255684226094,140.52966990013239038767224211,142042100
1.2,0,0.5464981146724018943668611791,0.546498115,0.499646877,0,149.34684537717959528091029417,140.57900833970306149074479959,143235700
1.21,0,0.5442503380094612007558045352,0.544250338,0.497399101,0,149.38392783855343951522385904,140.62752607050621273177907198,144429300
1.22,0,0.5420167724826559570218589931,0.542016772,0.495165535,0,149.42054329349973604622157547,140.67527002422470874628862504,145623000
1.23,0,0.5397970050180078726483294241,0.539797005,0.492945768,0,149.45671727887657159179556465,140.72228969373825969397567235,146816600
1.24,0,0.5375909591810183488794189499,0.537590959,0.490739722,0,149.44001882060268240804498974,140.71768563032304492044333551,148010200
1.25,0,0.5353983049140261871479772222,0.535398305,0.488547067,0,149.32670128131777565501201424,140.61910721725192175915377501,149203800
1.26,0,0.5332189815598948410081448351,0.533218982,0.486367744,0,149.21498349975609730302513175,140.52193152349566763678539098,150397500
1.27,0,0.5310781666612781189492206673,0.531078167,0.484226929,0,149.10474676516284665481226631,140.42605601369888851854606063,151591100
1.28,0,0.5289696634668732054337458289,0.528969663,0.482118426,0,148.99589793446618118522854966,140.33139957911799805428510095,152784700
1.29,0,0.5268872007541455366054355993,0.526887201,0.480035963,0,148.88841557395193045996041303,140.23793905138863995186812362,153978400
1.3,0,0.5248282105277494939219747838,0.524828211,0.477976973,0,148.7821394743781959890264752,140.14554002467357964969485735,155172000
1.31,0,0.5227915245348826450813149147,0.522791525,0.475940287,0,148.67707074951730053521151532,140.05419933474832492751901228,156365600
1.32,0,0.5207757998057912930663282028,0.5207758,0.473924562,0,148.57306268631802206436804405,139.96379419671416354687745798,157559300
1.33,0,0.5187805394104380975726842471,0.518780539,0.471929302,0,148.47012658227436972744256886,139.87433003534898324091157868,158752900
1.34,0,0.5168048980840074383462664494,0.516804898,0.469953661,0,148.36812328340197605185113361,139.78569100045926653225445582,159946500
1.35,0,0.5148485624760863504519238778,0.514848562,0.467997325,0,148.26715073283179960133460874,139.69795147284562814239639834,161140100
1.36,0,0.5129109085880958534708383972,0.512910909,0.466059671,0,148.16700765234593446004329351,139.61094801715853282014404405,162333800
1.37,0,0.5109916783187693887860357219,0.510991678,0.464140441,0,148.06772291240160206048697745,139.52470039766198085283692637,163527400
1.38,0,0.5090905393486120624604467126,0.509090539,0.462239302,0,147.96925152702353714829634379,139.43916946338712289310857105,164721000
1.39,0,0.5072071614492026405397279041,0.507207161,0.460355924,0,147.87162728888303297924760693,139.35437908588802120759571962,165914700
1.4,0,0.5053412411613205876280567345,0.505341241,0.458490004,0,147.77465922943360389498878845,139.27017480358125538736916004,167108300
1.41,0,0.5034924934386690950076874128,0.503492493,0.456641256,0,147.67838757704738187878734375,139.18658605564453942261011012,168301900
1.42,0,0.5016606810079837340037438942,0.501660681,0.454809444,0,147.58277633005526028934261406,139.10358177720552303951291328,169495600
1.43,0,0.4998457506617510044123664067,0.499845751,0.452994513,0,147.4878780869743386643148002,139.02120238325908736748638461,170689200
1.44,0,0.4980473912251539583571087858,0.498047391,0.451196154,0,147.39357530727090925166635763,138.95528976057932275118779422,171882800
1.45,0,0.4962653927350844746327716668,0.496265393,0.449414155,0,147.29985037157608351036844954,138.89866324543034486073232143,173076500
1.46,0,0.4944996522488628915887075369,0.494499652,0.447648415,0,147.206673460939729151967468,138.84247918569909602287896806,174270100
1.47,0,0.4927498764998888750737702772,0.492749876,0.445898639,0,147.11409145284394771228087035,138.78677348071964297452541501,175463700
1.48,0,0.4910161386399103622964317475,0.491016139,0.444164901,0,147.02201178646722580789284895,138.7314720169562979796406132,176657300
1.49,0,0.4892980694906164601447172457,0.489298069,0.442446832,0,146.93040837281563278169033447,138.67655264440529683712550778,177851000
1.5,0,0.4875955910461337237956909058,0.487595591,0.440744354,0,146.83933298513119663397694193,138.62205563199795634477330666,179044600
1.51,0,0.4859086643820146691938686646,0.485908664,0.439057427,0,146.74869684162174540902055324,138.56790964266153541697661644,180238200
1.52,0,0.4842370457761997601880233785,0.484237046,0.437385808,0,146.65847812591808963568972894,138.51409646622452709960793302,181431900
1.53,0,0.4825807695478117650406399926,0.48258077,0.435729532,0,146.56872875033326909579267237,138.46065624511546440315734885,182625500
1.54,0,0.4809395295160519136245539144,0.48093953,0.434088292,0,146.47936346282029839468872213,138.4075209516564608630469949,183819100
1.55,0,0.4793134035810904826737617284,0.479313404,0.432462166,0,146.39044169004401449414902196,138.35473721755469024180279749,185012800
1.56,0,0.4777021351265535126477197479,0.477702135,0.430850898,0,146.30186898487959366184314478,138.302228815678548451757901,186206400
1.57,0,0.4761058178120587315787950155,0.476105818,0.42925458,0,146.21370986607143971799839308,138.2500468205969147856869981,187400000
1.58,0,0.4745241586125067221173340166,0.474524159,0.427672921,0,146.12586540459884782465419489,138.19811127540326229254556276,188593700
1.59,0,0.4729572077925332184035709708,0.472957208,0.42610597,0,146.03841045254958223110990031,138.14648201035151239266431373,189787300
1.6,0,0.4714047868597397447831032807,0.471404787,0.424553549,0,145.95132194846831007182241225,138.0951396534412608571012937,190980900
1.61,0,0.4698669064959589488628623180,0.469866906,0.423015669,0,145.8645201212080593186062264,138.04402042255923791622687884,192174500
1.62,0,0.4683434031102108120923536797,0.468343403,0.421492166,0,145.7779853536221098577780029,137.99310694619058977341813246,193368200
1.63,0,0.4668343438467829438818667832,0.466834344,0.419983106,0,145.69179267973261106369998132,137.94246054234161596458450885,194561800
1.64,0,0.4653394385325742703890707948,0.465339439,0.418488201,0,145.60591738356932371442860383,137.89205980068326608785056782,195755400
1.65,0,0.4638588292507028539980483483,0.463858829,0.417007592,0,145.5202829064004892746281233,137.84184296389930690886162087,196949100
1.66,0,0.4623923770996236685361576898,0.462392377,0.41554114,0,145.43495132520046300645406721,137.79185984284631009492689898,198142700
1.67,0,0.4609399369910347410849851321,0.460939937,0.4140887,0,145.3499150122784433638396118,137.74210436303375436363368094,199336300
1.68,0,0.4595016258101885169436666165,0.459501626,0.412650388,0,145.2650906903824440045740779,137.6925083799858913280401801,200530000
1.69,0,0.4580772278638794489790759985,0.458077228,0.41122599,0,145.18054391092855035354982258,137.64312520681292135954244647,201723600
1.7,0,0.4566668024158011240323925947,0.456666802,0.409815565,0,145.09626101772931982476402972,137.59394265029089086994142916,202917200
1.71,0,0.4552701804797359294836820217,0.45527018,0.408418943,0,145.01216326490523495824646188,137.54489725053069643663947954,204110900
1.72,0,0.4538873489992386192110541271,0.453887349,0.407036112,0,144.92824685207198069272653044,137.49598601821232139017887827,205304500
1.73,0,0.4525183610150353760740086287,0.452518361,0.405667124,0,144.84464550755424750051590602,137.44731635956309104173354446,206498100
1.74,0,0.4511630756122082946878907985,0.451163076,0.404311838,0,144.76120832151762306640649241,137.39876599510285422611367384,207691700
1.75,0,0.4498215585014995785881468065,0.449821559,0.402970321,0,144.67799947221657727083963238,137.35038662560776306551722728,208885400
