Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.74,4,0.0792844798794241572360345552,0.111948990084517,0.111948990084517,0.0796721618807411,0.0796721618807411,0.458797934767476,0.4654894928449982808860144369,0.2342757889353122808860144369,0.231213703909686,6.6676442864077855328974817506,132.09877646838584343337572175,132.09877068076324104496748926,2261285000
12.75,4,0.0792695355433544772360345552,0.111922125969154,0.111922125969154,0.0796571444704692,0.0796571444704692,0.458629043411249,0.4653191389536682042406735483,0.2341857987889622042406735483,0.231133340164706,6.6652041463788370287592705046,132.08402011424593624177877945,132.08401432002654662752465697,2263060000
12.76,4,0.0792546302499852572360345552,0.111895321251372,0.111895321251372,0.0796421662938071,0.0796421662938071,0.458460439043187,0.4651490754947807761436171749,0.2340959549815947761436171749,0.231053120513186,6.6627681664855767775092566354,132.06927569478359978563860829,132.06926989395798703236534013,2264835000
12.77,4,0.0792397539921244072360345552,0.11186856345837,0.11186856345837,0.0796272172946301,0.0796272172946301,0.458292087454344,0.4649792674726618131855926728,0.2340062226872498131855926728,0.230973044785412,6.660335845451952040546922181,132.05455221672182223749309792,132.05454640928240424598954031,2266610000
12.78,4,0.0792249147626007872360345552,0.111841860729196,0.111841860729196,0.07961230550485,0.07961230550485,0.458123989896404,0.4648097167036975262677241961,0.2339166038920215262677241961,0.230893112811676,6.6579072092956907834438403854,132.03983096268743536386150263,132.03982514862194919446472822,2268385000
12.79,4,0.0792101055542700572360345552,0.111815207204108,0.111815207204108,0.0795974238830591,0.0795974238830591,0.457956163513821,0.4646404398818246083127441066,0.2338271154595576083127441066,0.230813324422267,6.6554824971399058873843792874,132.02513703918781878632300761,132.02513121849035999508173034,2270160000
12.80,4,0.0791953233600052572360345552,0.111788599688105,0.111788599688105,0.0795825694074264,0.0795825694074264,0.45778860593571,0.4644714344190610040942986378,0.2337377549715910040942986378,0.23073367944747,6.6530616719144686700261577307,132.01044875480544210513357404,132.01044292746494333231089713,2271934000
12.81,4,0.0791805801727060472360345552,0.111762049373941,0.111762049373941,0.079567754129494,0.079567754129494,0.457621304459954,0.4643026884249992555658356726,0.2336485107074252555658356726,0.230654177717574,6.6506445633018503927686577558,131.99578063569178129493392975,131.99577480170044611722928458,2273710000
12.82,4,0.0791658659852926872360345552,0.111735546738814,0.111735546738814,0.0795529679932499,0.0795529679932499,0.457454267062987,0.4641342091923642285728338144,0.2335593901294962285728338144,0.230574819062868,6.6482312757626666409683386032,131.98112279147816771391019711,131.98111695082606978027533869,2275484000
12.83,4,0.0791511887907059872360345552,0.111709099099485,0.111709099099485,0.0795382190307184,0.0795382190307184,0.457287483235579,0.4639659867479184596003365355,0.2334703834342764596003365355,0.230495603313642,6.6458216664407973520677051139,131.96648427070729506116877493,131.96647842338642058200886684,2277259000
